COMMENTS,STARS,English Comments,Roberta Model Polarity,Roberta Model Status,Roberta Result
Oğlum için aldım kendisi çok beğendi.,5,"i bought it for my son, he likes it very much.",[0.00144589 0.01970911 0.9788452 ],Positive,True
ürünü çok beğendim yaninda gönderdiğiniz hediye icin de ayrıca teşekkür ederim,4,"i like the product very much, thank you also for the gift you sent.",[0.00150797 0.01148557 0.9870064 ],Positive,True
Kırık geldi klavye,2,broken keyboard,[0.47839725 0.4838082  0.03779453],Non Positive,True
oğlum için almıştım çok beğendi kullanıyor gayet sorunsuz ve güzel,5,"i bought it for my son, he likes it, he uses it, it's very smooth and beautiful",[0.00116684 0.01095991 0.9878733 ],Positive,True
çok güzel yaa,2,so beautiful,[0.00463576 0.03433361 0.9610307 ],Positive,False
ürün kutusu baya yıpranmış . klavye tuşları sökük geldi .bide mouse kırık geldi .biraz daha verin iyisini alın,1,the product box is pretty worn. keyboard keys came ripped.bide mouse came broken.give some more and get a better one,[0.8440685  0.13708669 0.01884474],Negative,True
Iki cocuklu ev için ideal olduğunu düşündügümden aldim.Beklentimi karşıladı.,4,i bought it because i thought it was ideal for a house with two children. it met my expectations.,[0.03176836 0.21383171 0.7544    ],Non Negative,True
9 yaşındaki oğlum için aldım.Çokk beğendi.Sorunsuz ve sağlam teslimat,5,bought for my 9 year old son. he likes it very much. smooth and solid delivery,[0.00167061 0.02155263 0.9767767 ],Positive,True
kırık geldi rezalet,1,it came broken,[0.618354   0.35379487 0.0278511 ],Non Positive,True
oğlum için almıştım çok beğendi teşekkür ediyorum,5,"i bought it for my son, he liked it very much, thank you",[0.00116897 0.01135232 0.9874787 ],Positive,True
Harika bir ürün korkarak almıştım ama gönül rahatlığıyla alabilirsiniz 🖤,5,"a great product, i bought it with fear, but you can buy it with peace of mind 🖤",[0.00770962 0.06348204 0.9288084 ],Positive,True
Ürünü hediye aldım. Fiyatına göre normal renkli olması güzel. klavye çok ince,3,i bought the product as a gift. it's nice to have a normal color for the price. keyboard is too thin,[0.06218244 0.2611438  0.6766737 ],Non Negative,True
Kardeşim için aldım çok beğendi tavsiye ederim herkese,5,"i bought it for my brother, he liked it very much, i recommend it to everyone",[0.00120566 0.01385415 0.98494023],Positive,True
Kardeşim için aldık gayet güzel. Kullanışlı.,5,"bought for my brother, it's very nice. useful.",[0.00136437 0.01334356 0.985292  ],Positive,True
Bugün elime ulaştı vee çok memnun kaldık beğeniyi sonuna kadar hak eden bir ürün hiç bir sorun yaşamadık teşekkürler satıcımıza ve trendyola 🥰,5,"i received it today and we are very pleased. a product that deserves the appreciation to the end, we had no problems, thank you to our seller and trendyola 🥰",[0.0013004  0.00717976 0.99151987],Positive,True
Elime bugün ulaştı yeğenime almıştım ışıkları falan çok beğendi tavsiye ederim,5,"i received it today, i bought it for my nephew, he liked the lights very much, i recommend",[0.00110387 0.01928408 0.979612  ],Positive,True
Yeğnim için almıştım memnun kaldı,5,bought for my nephew he is pleased,[0.00270086 0.09500256 0.9022965 ],Positive,True
Ürün elime ulaştı görüntüsü ve ışıkları güzel mause de çok güzel ikisi de sağlam ve güzel çalışıyor teşekkürler 👍,5,"the product has arrived, the image and lights are beautiful, the mouse is also very nice, both are solid and working well, thank you 👍",[0.00115139 0.0080415  0.9908071 ],Positive,True
indirimli fiyatıyla almıstım. hicbir bozulma vs bi sey olmadı. cok kullanıslı. kargo hızlı ve temiz elime ulastı,5,i bought it at a discounted price. there was no breakdown or anything. very useful. the parcel arrived fast and clean,[0.00281183 0.02198572 0.9752024 ],Positive,True
Oğlum için almıştım çok beğendi 😊,5,"bought for my son, he likes it",[0.00399118 0.09539218 0.9006167 ],Positive,True
Güzel şık tavsiye ederim,5,beautiful stylish i recommend,[0.0026402  0.02472082 0.9726391 ],Positive,True
Gayet şık ve kullanışlı,5,very stylish and useful,[0.00214661 0.0423927  0.95546055],Positive,True
Kardesim bayildi cok kullanisli ve şık bir ürün,5,"my brother loved it, very useful and stylish product",[0.00212368 0.01451396 0.9833624 ],Positive,True
Gayet şık ve hoş bir havasi var.,4,it has a very stylish and pleasant vibe.,[0.00134135 0.01697052 0.98168796],Positive,True
Fiyatına göre çok güzel ve şık.,5,very beautiful and stylish for the price.,[0.00277673 0.0247896  0.9724336 ],Positive,True
kardeşim için aldım çok severek kullanıyor,5,"i bought it for my brother, he loves it",[0.00162605 0.01551606 0.98285806],Positive,True
Ürün çok güzel çok beğendim ve hediye içinde çok teşekkürler bu arada hediyeyi merak edenler için söylüyorum maus pad veriyorlar,5,"the product is very nice, i like it very much and thank you very much for the gift, by the way, for those who are curious about the gift, they give a maus pad.",[0.00135951 0.01223636 0.9864042 ],Positive,True
İnanılmaz kötü ya yorumlara güvenip almıştım oyuncak gibi klavye masada sabit durmuyor oynayıp duruyor mouse kablosu ise kısacık asla önermiyorum tabi bu yorumu yayınlayacaklarını da sanmıyorum 😂,1,"it's unbelievably bad, i bought it relying on the comments, like a toy, the keyboard doesn't stay on the table, it keeps playing and the mouse cable is short, i never recommend it, i don't think they will publish this comment either 😂",[0.9684514  0.02762816 0.00392053],Negative,True
Klavyede mause da çalışıyor yeğenime hediye aldım çok beğendi teşekkür ederiz,4,"the keyboard also works on the mouse, i bought a gift for my nephew, he liked it very much, thank you",[0.00105187 0.01585266 0.98309547],Positive,True
Hediye olarak almıştık. Ürün göründüğü gibi geldi.,4,we got it as a gift. the product came as expected.,[0.00944361 0.15132861 0.83922774],Positive,True
Kardeşime almıştım çok beğendi.,4,"i bought it for my brother, he liked it very much.",[0.00148442 0.02750256 0.97101307],Positive,True
ürün çok güzel ve kullanışlı çok renkli teşekkür ederim,5,"the product is very nice and useful, very colorful, thank you",[0.00153093 0.00844611 0.99002314],Positive,True
ürün baya hızlı elime ulaştı sorunsuz ve kaliteli... oğlum çok beğendi. tesekkur ederiz,5,"the product arrived very quickly, without any problems and of good quality... my son liked it very much. we thank you",[0.00140129 0.00836165 0.990237  ],Positive,True
Beklediğimden hızlı geldi ve ürün. gayet şık ve kullanışlı teşekkür ediyorum,5,the product came faster than i expected. very nice and useful thank you,[0.00204628 0.00769769 0.9902559 ],Positive,True
oğluma aldım çok beğendi,5,i bought it for my son he liked it very much,[0.00140684 0.02298272 0.97561055],Positive,True
üründe geldiğinde kablosu kopuktu ancana 2 ay dayandı çok kötü bir klavye di tavsiye etmem,1,"when the product came, the cable was broken, but it lasted for 2 months, it is a very bad keyboard, i do not recommend",[0.9735166  0.02335925 0.00312413],Negative,True
6 aydır kullanıyoruz güzel sağlam bir ürün,5,"we have been using it for 6 months, nice solid product",[0.00216973 0.02935392 0.96847624],Positive,True
şık duruşu bizi bizden aldı çok kaliteli 👍😚,5,"its stylish stance took us from us, very high quality 👍😚",[0.00248245 0.05877893 0.9387387 ],Positive,True
Klavyem çok güzel bayıldım,5,my keyboard is so beautiful,[0.00203071 0.0113604  0.9866088 ],Positive,True
harika oglum çok beğendi,5,great my son liked it,[0.00222834 0.02692838 0.9708432 ],Positive,True
Kızıma aldım çok beğendi,5,bought for my daughter she loved it,[0.00378163 0.04614654 0.9500717 ],Positive,True
güzel paketlenmişti kısa vadeli kullanılabilir kaliteli bir şey beklemeyin,5,it was nicely packaged don't expect anything short term usable quality,[0.04719555 0.32311004 0.6296945 ],Non Negative,True
İndirimden aldım fiyatına göre iyi,4,"bought on sale, good for the price",[0.00464153 0.08279844 0.91256   ],Positive,True
Oğluma aldım çok memnun kaldık baya başarılı,5,"i bought it for my son, we are very satisfied, it is very successful",[0.00121518 0.01491027 0.9838746 ],Positive,True
güzel oğlum için aldım çok beğendi.,5,"i bought it for my beautiful son, he likes it very much.",[0.00127572 0.01288266 0.98584163],Positive,True
Kardeşim için aldım beğendi teşekkür ederim güzel ikili set,5,"i bought it for my brother, he liked it, thank you, nice double set",[0.00124931 0.01369986 0.9850507 ],Positive,True
çok iyi ürün,5,very good product,[0.00525792 0.04090671 0.9538354 ],Positive,True
Biz aldıktan sonra indirime girdi. Ama kullanışlı ve kaliteli,5,it went on sale after we bought it. but useful and good quality,[0.00374125 0.06794198 0.9283167 ],Positive,True
Gençler için güzel bir hediye,5,nice gift for teenagers,[0.00342962 0.05018514 0.94638515],Positive,True
Ogluna aldım cok beyendi kücük kullanışlı,5,"i bought it for your son, very gentleman, very useful",[0.00358261 0.05622002 0.9401972 ],Positive,True
"Ürün kırık geldi, asla tavsiye etmiyorum. Ek olarak, tuş takımı oldukça rahatsız. Paranızı çöpe atmayın...",1,"the product arrived broken, i do not recommend at all. in addition, the keypad is quite uncomfortable. don't waste your money...",[0.969254   0.02753027 0.00321585],Negative,True
çok beğendim çok iyi sağlam.,5,"i like it very much, very solid.",[0.00171488 0.02025469 0.9780305 ],Positive,True
cok memnunum cihazlar sağ salim elime ulasti teşekkürler,5,"i am very pleased, the devices arrived safely, thank you",[0.001394   0.00949133 0.98911464],Positive,True
Paketleme mükemmel kargo dersen çok hızlı ürün çok güzel Herkeze tavsiye ederm,5,"if you say the packaging is excellent, the shipping is very fast, the product is very nice, i recommend it to everyone",[0.00192933 0.01596327 0.9821072 ],Positive,True
Ürün çok güzel mouse harika elime aldığım vakit böyle güzel bi his veriyor rengi sadece kırmızı yanıyor ve hareket ettikçe rengi iyice parlıyor gece henüz nasıl odamda duruyor bakamadım bakıcam birazdan klavyeye gelirsek tuşları biraz sert geldi bana aksi takdirde çok başarılı bir ürün alanlara şimdide hayırlı olsun kargoya veren kişiye de teşekkürler çok güzel paket halinde geldi :),5,"the product is very nice, the mouse is great, it gives such a nice feeling when i take it in my hand, the color only glows red and the color shines as it moves, i could not see how it is in my room at night yet, i will see if we come to the keyboard, the keys are a little hard for me, otherwise, those who buy a very successful product, good luck with the shipping. thanks to the person, it came in a very nice package :)",[0.00369069 0.01619767 0.9801117 ],Positive,True
iyi kullanışlı saglam,5,good useful good,[0.0089594  0.08828734 0.90275335],Positive,True
Sorunsuz geldi teşekkürler.,5,"arrived fine, thank you.",[0.00500364 0.07860547 0.916391  ],Positive,True
çok güzel sapa sağlam geldi tavsiye ederim,5,"very nice handle came solid, i recommend",[0.0020474  0.01883405 0.97911876],Positive,True
Harika reis bu kadar hızlı geleceğini düşünmezdim paketleme herseyi 10 numara,5,"wonderful chief, i didn't think it would come so fast, packaging everything is number 10",[0.09269742 0.40361562 0.503687  ],Non Negative,True
Kırık geldı cok kotuydu,1,"it came broken, it was very bad",[0.96001875 0.03653933 0.00344199],Negative,True
beklediğim gibi herşey çok iyi teşekkür ederim sağlıklı mutlu günler,5,"everything is fine as i expected, thank you, have a healthy and happy day",[0.00231326 0.01641982 0.981267  ],Positive,True
Kulaklık Klavye mause bilgisayarımız çok güzel oldu kargo sağlam geldi teşekkürler,5,"our headphone keyboard mouse computer was very nice, the shipping arrived intact, thank you",[0.00181032 0.0104164  0.9877732 ],Positive,True
kardeşim için aldık gayet güzel bu fiyata uygun ama mouse daha güzel,5,"we bought it for my brother, it's very nice, it's suitable for this price, but the mouse is nicer",[0.00147818 0.01741848 0.98110324],Positive,True
"Sorunsuz geldi, teşekkür ederim.",5,"it arrived fine, thank you.",[0.00437192 0.0602169  0.93541116],Positive,True
kardeşim severek kullanıyor renkli fiyatına göre iyi bir ürün,5,"my brother loves using it, it's a good product for its price",[0.0016045  0.00942805 0.9889675 ],Positive,True
Güzel idarelik,4,nice administration,[0.041306   0.22527376 0.7334203 ],Non Negative,True
cok kotu almayin,1,don't buy too many jeans,[0.3623705  0.59205    0.04557956],Non Positive,True
harika Bir ürün,5,a great product,[0.00602592 0.06207184 0.9319023 ],Positive,True
çocuklar memnun,5,children are satisfied,[0.02161405 0.25526246 0.7231234 ],Non Negative,True
memnun kaldım sorunsuz geldi,5,"i am satisfied, it came without problems",[0.00370164 0.04345506 0.9528433 ],Positive,True
Teşekkür ederim sorunsuz teslim aldım,5,thank you i received it without any problems,[0.0039875  0.04397998 0.95203245],Positive,True
Ürünün ışıklandırması gayet iyi ama örnek veriyorum a harfinı tıklıyorum Ş harfi yazıyor kesınlıkle tavsıye etmıyorum,1,"the lighting of the product is fine, but i am giving an example, i click the letter a, it writes the letter s, i definitely do not recommend",[0.86168665 0.12408704 0.01422636],Negative,True
çok güzel bir ürün,5,very nice product,[0.00463432 0.03118055 0.964185  ],Positive,True
kalavye çok iyi,4,the keyboard is very good,[0.00198975 0.01586224 0.98214805],Positive,True
Kullanışlı klavyesi ama mause bi tık kötü,4,useful keyboard but mouse one click bad,[0.937159   0.05767579 0.00516532],Negative,False
mükemmel ürün,5,excellent product,[0.00528098 0.0393532  0.9553658 ],Positive,True
Evet ışıklı falan ama ışın kılıcı gibi eşime hediye almıştım buram buram Çin kokuyor klavye yamuk ışık da olmasa standart klavyeden daha ucuz görünür oyun klavyesiyle alakası yok.,2,"yes, it is illuminated or something, but i bought it as a gift for my wife, like a lightsaber. it smells like china. the keyboard looks cheaper than a standard keyboard, even if there is no crooked light. it has nothing to do with a gaming keyboard.",[0.08833659 0.38940507 0.52225834],Non Negative,False
Kaliteli ürün,5,quality product,[0.09259855 0.46271646 0.44468504],Non Negative,True
Oğlum çok beğendi çokkkk teşekkür ederiz,5,my son liked it very much thank you very much,[0.00145394 0.00936279 0.9891833 ],Positive,True
